Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Customer,45,M,3,High School,Married,$60K - $80K,,,,,,,,,,,,YEAR,Revenue,Net income margin,EBITDA margin,ROA,,,,,,,,,,
Existing Customer,49,F,5,Graduate,Single,Less than $40K,,,,,,,,,,,910,2009," 3,615.00 ",98%,14%,75%,,,,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,,,,,,,,,,,,2010," 1,637.00 ",47%,53%,95%,,,,Existing Customer,26,M,0,Graduate,Single,Unknown
Existing Customer,40,F,4,High School,Unknown,Less than $40K,,,,,,,,,,,,2011," 1,480.00 ",79%,11%,94%,,,,Existing Customer,46,M,3,High School,Married,$60K - $80K
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,,,Q1,Q2,Q3,Q4,,,,,,2012," 6,462.00 ",16%,72%,45%,,,,Existing Customer,62,M,1,Graduate,Married,$60K - $80K
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,,2016,6.00%,22.00%,11.00%,13.00%,,,,,,2013," 2,321.00 ",37%,39%,83%,,,,Existing Customer,55,M,2,Uneducated,Divorced,$60K - $80K
Existing Customer,51,M,4,Unknown,Married,$120K +,,2020,21.00%,17.00%,8.00%,22.00%,,,,,,2014," 7,485.00 ",44%,96%,46%,,,,Existing Customer,55,M,2,College,Married,$80K - $120K
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,,2021,22.00%,5.00%,17.00%,19.00%,,,,,,2015," 5,144.00 ",59%,33%,54%,,,,Existing Customer,32,M,0,High School,Married,$40K - $60K
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,,,,,,,,,,,,2016," 2,279.00 ",74%,6%,26%,,,,Existing Customer,37,F,4,Uneducated,Married,Less than $40K
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,,,,,,,,,,,,2017," 7,043.00 ",15%,9%,40%,,,,Existing Customer,33,F,4,High School,Single,Unknown
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,,,,,,,,,,,,,,,,,,,,Existing Customer,42,M,2,College,Married,$80K - $120K
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,,2016,TRUE,,,,,,,,,,,2,,,,,,Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K
Existing Customer,56,M,1,College,Single,$80K - $120K,,2020,TRUE,,,,,,,,,YEAR,Revenue,EBITDA margin,,,,,,Existing Customer,60,F,0,High School,Single,Unknown
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,,2021,TRUE,,,,,,,,,2009," 3,615.00 ",14%,,,,,,Attrited Customer,65,M,1,High School,Married,Less than $40K
Existing Customer,57,F,2,Graduate,Married,Less than $40K,,,,,,,,,,,,2010," 1,637.00 ",53%,,,,,,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K
